category,name,phone,address,latitude,longitude,opening_hours,rental_info,description
0,羽球場,基隆特殊教育學校活動中心,02-24526332#312,[206]基隆市七堵區堵南街20號,25.0838547113549,121.689993739128,一二三四五,付費對外場地租借,本場(館)興建於民國97年，鄰近百福社區，周邊堵南社區、與社區互動良多‧
1,籃球場,基隆商工活動中心,02-24567126#231,基隆市七堵區東新街22號,25.0946643756092,121.717422008514,六日,付費對外場地租借,本場(館)啟用於民國75年，位於東新路旁
2,排球場,基隆商工體育館,02-24567126#231,基隆市七堵區東新街22號,25.094233929451,121.718493039587,六日,付費對外場地租借,本場(館)興建於民國87年，位於學校中間靠學校側門
3,籃球場,基隆商工維新館,02-24567126#231,基隆市七堵區東新街22號,25.0937899214171,121.718258857727,六日,付費對外場地租借,本場(館)啟用於民國102年，位於本校中央
4,排球場,基隆商工維新館,02-24567126#231,基隆市七堵區東新街22號,25.0937899214171,121.718258857727,六日,付費對外場地租借,本場(館)啟用於民國102年，位於本校中央
5,羽球場,基隆商工維新館,02-24567126#231,基隆市七堵區東新街22號,25.0937899214171,121.718258857727,六日,付費對外場地租借,本場(館)啟用於民國102年，位於本校中央
6,籃球場,復興國小籃球場,02-24515601#30,基隆市七堵區華新二路21號,25.107306634993,121.665497794747,一二三四五,免費對外場地租借,本場(館)興建於民國83年，位於復興國小校園內，周邊另有兒童遊憩區等休閒設施。
7,羽球場,羽球場館,02-24511457,基隆市七堵區百一街25號,25.0797589352314,121.693346500397,,不開放對外場地租借,本場(館)興建於民國80年，位於五堵國小內
8,游泳池,基隆市七堵區七堵國小游泳池(館),02-24567116#31,基隆市七堵區明德一路184號,25.0977079132693,121.713312864304,一二三四五六日,不開放對外場地租借,本場(館)興建於民國94年，位於基隆市七堵區內，周邊另有兒童遊戲設施永平公園、戶外體健設施等休閒設施。
9,羽球場,基隆市七堵區七堵國小游泳池(館),02-24567116#31,基隆市七堵區明德一路184號,25.0977079132693,121.713312864304,,付費對外場地租借,本場(館)興建於民國94年，位於基隆市七堵區內，周邊另有兒童遊戲設施永平公園、戶外體健設施等休閒設施。
10,籃球場,尚仁國小籃球場,02-24311708#10,基隆市七堵區八德路20號,25.1113166767519,121.727957725525,一二三四五六日,不開放對外場地租借,單一籃球場地，兩個籃架，中間可進行躲避球活動。
11,足球場,尚仁國小籃球場,02-24311708#10,基隆市七堵區八德路20號,25.1113166767519,121.727957725525,一二三四五六日,不開放對外場地租借,單一籃球場地，兩個籃架，中間可進行躲避球活動。
12,籃球場,百福國中體育館,02-24511158#21,基隆市七堵區福五街1號,25.0838304188993,121.698120832443,,付費對外場地租借,本場(館)位於學校內，為學生體育運動場館。
13,田徑/跑道,基隆商工田徑場,02-24567126#231,基隆市七堵區東新街22號,25.094180490575,121.717768843153,六日,免費對外場地租借,本場為人工跑道200公尺場地供本校學生上課用
14,籃球場,基隆商工田徑場,02-24567126#231,基隆市七堵區東新街22號,25.094180490575,121.717768843153,六日,免費對外場地租借,本場為人工跑道200公尺場地供本校學生上課用
